DeviceID,DateID,BrowserID,OsID,CategoryID,NUM_OF_ACCESS,BROWSER_NAME,CATEGORY_NAME,CalendarQuarter,CalendarYear,DateAltKey,DayName,DayOfMonth,DayOfWeek,MonthName,MonthOfYear,DEVICE_NAME,DEVICE_TYPE,SCREEN_RESOLUTION,OS_NAME
148636,15,74,1,50,2,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; GK-A1,General_Mobile,240x320,Android
150947,15,74,1,50,1,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; GT-I9300,General_Mobile,480x800,Android
108587,15,74,1,50,9,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; GT-S5830i,General_Mobile,320x480,Android
108589,15,74,1,50,1,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; GT-S6310,General_Mobile,320x480,Android
127373,15,74,1,50,12,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; GT-S7580,General_Mobile,480x800,Android
152155,15,74,1,50,5,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; R821,General_Mobile,800x480,Android
127418,15,74,1,50,1,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; SHW-M110S,General_Mobile,480x800,Android
127431,15,74,1,50,1,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; Viettel I8,General_Mobile,480x800,Android
148554,15,19,2,50,4,Dolfin,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Samsung GT-S5753E,General_Desktop,240x285,Bada
167440,15,2,1,50,23,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,GT-I8150,General_Mobile,320x508,Android
151656,15,2,1,50,4,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,FPT Tablet II,General_Mobile,800x455,Android
135905,15,14,10,50,257,Chrome Mobile iOS,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,iPad,General_Mobile,768x1024,iOS
85104,15,45,10,50,3,Mobile Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,iPad,General_Mobile,1024x720,iOS
147536,15,45,10,50,3,Mobile Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,iPad,General_Mobile,1680x1050,iOS
135905,15,45,10,50,4548,Mobile Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,iPad,General_Mobile,768x1024,iOS
86565,15,21,40,38,47,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1047x589,Windows XP
86606,15,21,40,38,2,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1067x800,Windows XP
145700,15,21,40,38,6,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1120x630,Windows XP
88607,15,21,40,38,40,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1143x858,Windows XP
87869,15,21,40,38,17,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1173x733,Windows XP
87749,15,21,40,38,3,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1229x691,Windows XP
88504,15,21,40,38,461,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1360x768,Windows XP
173932,15,2,1,50,1,Android,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,EVO 4G LTE,General_Mobile,480x854,Android
164621,15,21,40,38,1,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,832x666,Windows XP
120130,15,13,1,50,6,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,ST18,General_Mobile,320x570,Android
142118,15,21,40,38,10,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,960x540,Windows XP
165969,15,21,40,38,10,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,981x589,Windows XP
88504,15,26,40,38,2,Firefox Beta,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1360x768,Windows XP
138134,15,32,40,38,9,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1024x640,Windows XP
173227,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,GT-S6102,General_Mobile,480x602,Android
120288,15,13,1,50,1,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,SHV-E160K,General_Mobile,400x640,Android
116688,15,13,1,50,1,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,SAMSUNG SM-N900L,General_Mobile,360x640,Android
143178,15,2,1,34,2,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,HKPhone revo,General_Mobile,540x960,Android
177002,15,2,1,34,9,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,HTC Desire,General_Mobile,540x960,Android
161046,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,HTC EVO,General_Mobile,540x960,Android
173540,15,2,1,34,5,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,HTC One,General_Mobile,480x800,Android
178516,15,2,1,34,24,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,HTC One,General_Mobile,720x1280,Android
173542,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,HTC OneSV,General_Mobile,480x800,Android
177023,15,2,1,34,2,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,i9300,General_Mobile,540x960,Android
117861,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A800S,General_Mobile,400x516,Android
170483,15,2,1,34,4,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A820L,General_Mobile,400x516,Android
88172,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A850S/L/K/2.17,General_Mobile,1280x720,Android
108817,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,iPhone,General_Mobile,320x403,Android
111031,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,iPhone,General_Mobile,320x455,Android
161806,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,Kindle Fire,General_Mobile,600x819,Android
90136,15,2,1,34,3,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,Kindle Fire HD,General_Mobile,1280x800,Android
